epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12833,2.48459,3.17511,2.89436,0.01,0.68182,0.20116,0.05092,2.23678,3.05787,2.50618,0,0,0
2,2.11301,2.36719,3.42753,2.83409,0.00933,0.63636,0.17939,0.05128,2.27561,3.0608,2.5418,1.9934e-05,1.9934e-05,1.9934e-05
3,3.31524,2.30529,3.12068,2.90894,0.01,0.68182,0.17862,0.0514,2.33805,3.05884,2.58158,3.9736e-05,3.9736e-05,3.9736e-05
4,4.24012,2.3061,3.09974,2.76256,0.01,0.68182,0.16852,0.04506,2.44416,3.03128,2.62515,5.9406e-05,5.9406e-05,5.9406e-05
5,5.15562,2.36254,3.18682,2.88427,0.00933,0.63636,0.25444,0.07924,1.88402,2.91637,2.23843,7.8944e-05,7.8944e-05,7.8944e-05
6,6.21144,2.07157,3.03499,2.6101,0.01133,0.77273,0.32842,0.13356,1.40118,2.84857,1.98966,9.835e-05,9.835e-05,9.835e-05
7,7.21421,1.30677,2.62293,1.94558,0.01067,0.72727,0.32722,0.14738,1.43557,2.82625,1.99248,0.000117624,0.000117624,0.000117624
8,8.27898,1.48474,2.73822,2.19708,0.01333,0.90909,0.32017,0.17758,0.91705,2.63399,1.75333,0.000136766,0.000136766,0.000136766
9,9.35795,1.28167,2.83793,1.91005,0.20933,0.63636,0.3747,0.27969,0.84802,2.48667,1.66129,0.000155776,0.000155776,0.000155776
10,10.4083,1.01179,2.34741,1.68254,0.69303,0.61631,0.57138,0.35572,0.81769,2.386,1.61645,0.000174654,0.000174654,0.000174654
11,11.4474,0.94285,2.25242,1.61848,0.79076,0.68738,0.68915,0.42584,0.80405,2.25196,1.55566,0.0001934,0.0001934,0.0001934
12,12.4749,0.90748,2.02263,1.55149,0.74897,0.72727,0.59929,0.40826,0.78371,2.04691,1.47883,0.000212014,0.000212014,0.000212014
13,13.4698,0.92673,1.72632,1.56573,0.76381,0.72727,0.65332,0.50338,0.76684,1.86412,1.41009,0.000230496,0.000230496,0.000230496
14,14.4663,0.92439,1.57061,1.52406,0.95807,0.95455,0.95531,0.58059,0.7339,1.69371,1.36434,0.000248846,0.000248846,0.000248846
15,15.4389,0.82807,1.29646,1.47463,0.95729,0.95455,0.95607,0.67605,0.74798,1.41667,1.33103,0.000267064,0.000267064,0.000267064
16,16.4037,0.8476,1.15864,1.46011,0.92321,0.90909,0.9875,0.72368,0.64311,1.43891,1.36231,0.00028515,0.00028515,0.00028515
17,17.3916,0.75363,1.08286,1.40717,0.99117,0.72727,0.89716,0.73932,0.55551,1.45086,1.3764,0.000303104,0.000303104,0.000303104
18,18.3196,0.7286,1.05111,1.3551,1,0.68016,0.88538,0.7651,0.53547,1.45171,1.37316,0.000320926,0.000320926,0.000320926
19,19.2766,0.81625,1.0722,1.39369,0.83682,0.72727,0.89616,0.73444,0.56418,1.43818,1.36057,0.000338616,0.000338616,0.000338616
20,20.192,0.78279,1.15142,1.41783,0.80164,0.81818,0.92789,0.73521,0.61141,1.38971,1.3395,0.000356174,0.000356174,0.000356174
21,21.0313,0.71826,1.02055,1.38671,0.8599,0.83745,0.94284,0.74845,0.65164,1.30521,1.3127,0.0003736,0.0003736,0.0003736
