epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.7171,0.67848,0.81855,1.33829,0.9373,0.67958,0.68304,0.58069,0.87856,1.35079,1.42196,0.000709054,0.000709054,0.000709054
43,29.2969,0.78945,0.88186,1.33996,0.94099,0.72498,0.73461,0.61247,0.83492,1.23892,1.38996,0.000723576,0.000723576,0.000723576
44,29.8921,0.59861,0.70974,1.22812,0.94677,0.80882,0.87611,0.68446,0.78197,1.0317,1.33145,0.000737966,0.000737966,0.000737966
45,30.4518,0.72474,0.74503,1.22927,0.99733,1,0.995,0.75594,0.69971,0.75695,1.22893,0.000752224,0.000752224,0.000752224
46,31.0338,0.61609,0.66267,1.26222,0.99586,1,0.995,0.80385,0.60881,0.7221,1.18195,0.00076635,0.00076635,0.00076635
47,31.646,0.68411,0.69956,1.31103,0.99549,1,0.995,0.83894,0.63764,0.67601,1.1829,0.000780344,0.000780344,0.000780344
48,32.1854,0.60748,0.62559,1.29088,0.99549,1,0.995,0.83894,0.63764,0.67601,1.1829,0.000794206,0.000794206,0.000794206
49,32.7598,0.68295,0.70332,1.35489,0.99525,1,0.995,0.81459,0.73108,0.67847,1.2757,0.000807936,0.000807936,0.000807936
50,33.3033,0.78026,0.88737,1.44486,0.99525,1,0.995,0.81459,0.73108,0.67847,1.2757,0.000821534,0.000821534,0.000821534
51,33.901,0.73246,0.81388,1.35758,0.99343,1,0.995,0.76194,0.83439,0.7478,1.46222,0.000835,0.000835,0.000835
52,34.5021,0.79223,0.74041,1.39053,0.99343,1,0.995,0.76194,0.83439,0.7478,1.46222,0.000848334,0.000848334,0.000848334
53,35.1112,0.77193,0.6904,1.34505,0.86813,0.89812,0.95708,0.77642,0.77672,0.71492,1.41464,0.000861536,0.000861536,0.000861536
54,35.6944,0.85373,0.68677,1.32648,0.86813,0.89812,0.95708,0.77642,0.77672,0.71492,1.41464,0.000874606,0.000874606,0.000874606
55,36.3374,0.78064,0.62786,1.27893,0.99253,1,0.995,0.83243,0.66125,0.55267,1.24841,0.000887544,0.000887544,0.000887544
56,37.0566,0.66512,0.68666,1.26243,0.99253,1,0.995,0.83243,0.66125,0.55267,1.24841,0.00090035,0.00090035,0.00090035
57,37.6679,0.72854,0.70006,1.29603,0.99734,1,0.995,0.8799,0.58749,0.50142,1.19753,0.000913024,0.000913024,0.000913024
58,38.2816,0.67486,0.66099,1.33402,0.99734,1,0.995,0.8799,0.58749,0.50142,1.19753,0.000925566,0.000925566,0.000925566
59,38.9148,0.63576,0.64343,1.27191,0.99743,1,0.995,0.87912,0.59725,0.50973,1.21134,0.000937976,0.000937976,0.000937976
60,39.5194,0.77818,0.67341,1.51409,0.99743,1,0.995,0.87912,0.59725,0.50973,1.21134,0.000950254,0.000950254,0.000950254
61,40.0975,0.59688,0.59713,1.30143,0.9973,1,0.995,0.82542,0.62655,0.52045,1.27836,0.0009624,0.0009624,0.0009624
62,40.6887,0.6815,0.67506,1.27948,0.9973,1,0.995,0.82542,0.62655,0.52045,1.27836,0.000974414,0.000974414,0.000974414
63,41.248,0.70271,0.73225,1.36614,0.99753,1,0.995,0.82167,0.66762,0.50438,1.44022,0.000986296,0.000986296,0.000986296
64,41.7815,0.72801,0.67939,1.31821,0.99753,1,0.995,0.82167,0.66762,0.50438,1.44022,0.000998046,0.000998046,0.000998046
65,42.3427,0.6785,0.61125,1.23273,0.99734,1,0.995,0.79223,0.72148,0.49505,1.5137,0.00100966,0.00100966,0.00100966
66,42.8651,0.81733,0.66582,1.30166,0.99734,1,0.995,0.79223,0.72148,0.49505,1.5137,0.00102115,0.00102115,0.00102115
67,43.4501,0.623,0.63154,1.25036,0.99712,1,0.995,0.83798,0.69342,0.47677,1.34245,0.0010325,0.0010325,0.0010325
68,43.9939,0.60883,0.55184,1.17579,0.99712,1,0.995,0.83798,0.69342,0.47677,1.34245,0.00104373,0.00104373,0.00104373
69,44.5698,0.67527,0.64366,1.31151,0.99688,1,0.995,0.85534,0.63199,0.45087,1.23402,0.00105482,0.00105482,0.00105482
70,45.1213,0.74487,0.74601,1.50575,0.99688,1,0.995,0.85534,0.63199,0.45087,1.23402,0.00106577,0.00106577,0.00106577
71,45.7696,0.59616,0.57554,1.23433,0.9969,1,0.995,0.88612,0.62082,0.45063,1.2347,0.0010766,0.0010766,0.0010766
72,46.3341,0.68433,0.58801,1.32179,0.9969,1,0.995,0.88612,0.62082,0.45063,1.2347,0.00108729,0.00108729,0.00108729
73,46.9228,0.68343,0.66142,1.28985,0.99465,1,0.995,0.83904,0.65856,0.47579,1.28813,0.00109786,0.00109786,0.00109786
74,47.4591,0.75469,0.70889,1.48718,0.99465,1,0.995,0.83904,0.65856,0.47579,1.28813,0.00110829,0.00110829,0.00110829
75,48.0225,0.62611,0.62558,1.26174,0.95433,0.94997,0.98939,0.77301,0.78068,0.54961,1.42064,0.00111858,0.00111858,0.00111858
76,48.5817,0.7949,0.64186,1.21724,0.95433,0.94997,0.98939,0.77301,0.78068,0.54961,1.42064,0.00112875,0.00112875,0.00112875
77,49.1526,0.77286,0.65123,1.26261,0.88901,0.95455,0.97966,0.76364,0.81029,0.59027,1.45425,0.00113878,0.00113878,0.00113878
78,49.687,0.76176,0.60414,1.27302,0.88901,0.95455,0.97966,0.76364,0.81029,0.59027,1.45425,0.00114869,0.00114869,0.00114869
79,50.2281,0.73766,0.63471,1.27854,0.91115,1,0.97389,0.77677,0.77179,0.57515,1.3802,0.00115846,0.00115846,0.00115846
80,50.7723,0.67942,0.57756,1.33053,0.91115,1,0.97389,0.77677,0.77179,0.57515,1.3802,0.00116809,0.00116809,0.00116809
81,51.3183,0.63725,0.56259,1.27839,0.91046,1,0.98939,0.85678,0.65475,0.51489,1.28873,0.0011776,0.0011776,0.0011776
